network,station,latitude,longitude,elevation(m)
 GS,  KAN01,  37.1534,  -97.7590, 360.0 
 GS,  KAN05,  37.1086,  -97.8723, 348.0 
 GS,  KAN06,  37.2480,  -97.8586, 393.0 
 GS,  KAN08,  37.2267,  -97.9710, 375.0 
 GS,  KAN09,  37.1361,  -97.6183, 371.0 
 GS,  KAN10,  37.1235,  -98.0951, 417.0 
 GS,  KAN11,  37.2060,  -97.9133, 410.0 
 GS,  KAN12,  37.2974,  -97.9980, 425.5 
 GS,  KAN13,  37.0129,  -97.4778, 340.0 
 GS,  KAN14,  36.9568,  -97.9630, 363.0 
 GS,  KAN16,  37.2256,  -98.0647, 425.0 
 GS,  KAN17,  37.0441,  -97.7648, 355.0 
 GS,   KS20,  37.2297,  -97.5543, 372.0 
 GS,   KS21,  37.2865,  -97.6630, 414.0 
 GS,  OK020,  35.5375,  -96.8769, 267.0 
 GS,  OK021,  35.6023,  -96.7184, 259.0 
 GS,  OK022,  35.5368,  -96.6649, 272.0 
 GS,  OK023,  35.7247,  -97.1623, 291.0 
 GS,  OK024,  35.7251,  -97.0579, 302.0 
 GS,  OK025,  35.5811,  -97.3379, 348.0 
 GS,  OK026,  35.4153,  -97.4514, 398.0 
 GS,  OK027,  35.7120,  -97.2836, 364.0 
 GS,  OK028,  35.5611,  -97.0614, 330.0 
 GS,  OK029,  35.7966,  -97.4549, 333.0 
 GS,  OK030,  35.9278,  -96.7837, 289.0 
 GS,  OK031,  35.9531,  -96.8391, 290.0 
 GS,  OK032,  36.8038,  -98.2104, 345.0 
 GS,  OK033,  36.0444,  -96.9382, 258.0 
 GS,  OK034,  36.0102,  -96.7132, 254.0 
 GS,  OK035,  36.7082,  -98.7097, 485.0 
 GS,  OK036,  36.5058,  -98.6319, 460.0 
 GS,  OK037,  36.5082,  -98.7445, 468.0 
 GS,  OK038,  36.4782,  -98.7422, 443.0 
 GS,  OK039,  36.3817,  -98.6518, 400.0 
 GS,  OK040,  36.4829,  -98.6741, 453.0 
 GS,  OK041,  36.4672,  -98.5327, 445.0 
 GS,  OK042,  36.4030,  -98.8315, 442.0 
 GS,  OK043,  36.4334,  -98.7457, 406.0 
 GS,  OK044,  36.3727,  -96.7963, 290.0 
 GS,  OK045,  36.4477,  -96.9249, 284.0 
 GS,  OK046,  36.3972,  -96.9074, 294.0 
 GS,  OK047,  36.4689,  -96.7236, 253.0 
 GS,  OK048,  36.4162,  -96.9437, 297.0 
 GS,  OK049,  36.4069,  -97.3044, 327.0 
 GS,  OK050,  36.3945,  -96.9818, 315.0 
 GS,  OK051,  36.5052,  -96.8360, 263.0 
 GS,  OK052,  35.9936,  -96.8028, 259.0 
 GS,  OK053,  36.0142,  -96.7878, 280.0 
 GS,  OKR01,  35.4907,  -96.6205, 289.0 
 GS,  OKR02,  35.5127,  -96.5692, 296.0 
 GS,  OKR03,  35.4948,  -96.4835, 277.0 
 GS,  OKR04,  35.4706,  -96.3876, 315.0 
 GS,  OKR05,  35.4296,  -96.3038, 273.0 
 GS,  OKR06,  35.4191,  -96.1235, 230.0 
 GS,  OKR07,  35.4422,  -96.0190, 205.0 
 GS,  OKR08,  35.5141,  -95.8752, 202.0 
 GS,  OKR09,  35.5151,  -95.7523, 192.0 
 GS,  OKR10,  35.6087,  -95.5546, 181.0 
 N4,   T35B,  36.9162,  -96.5119, 413.0 
 NX,  STN01,  35.8328,  -97.6550, 316.0 
 NX,  STN02,  35.9506,  -97.5066, 342.0 
 NX,  STN03,  35.9261,  -97.1856, 276.0 
 NX,  STN04,  35.9088,  -96.9224, 290.0 
 NX,  STN05,  35.8470,  -96.6446, 285.0 
 NX,  STN06,  36.0365,  -96.4759, 257.0 
 NX,  STN07,  36.0831,  -97.7969, 345.0 
 NX,  STN08,  36.1794,  -97.4919, 359.0 
 NX,  STN09,  36.1758,  -97.2673, 310.0 
 NX,  STN10,  36.1463,  -96.9374, 287.0 
 NX,  STN11,  36.1593,  -96.7316, 252.0 
 NX,  STN12,  36.2589,  -96.4915, 260.0 
 NX,  STN13,  36.3074,  -97.8208, 343.0 
 NX,  STN14,  36.4698,  -97.6259, 329.0 
 NX,  STN15,  36.3495,  -97.3746, 316.0 
 NX,  STN16,  36.3487,  -97.1269, 294.0 
 NX,  STN17,  36.4004,  -96.9078, 299.0 
 NX,  STN18,  36.4181,  -96.6474, 255.0 
 NX,  STN19,  36.6833,  -97.9025, 337.0 
 NX,  STN20,  36.5215,  -97.7432, 339.0 
 NX,  STN21,  36.7523,  -97.5612, 333.0 
 NX,  STN22,  36.5654,  -97.4113, 312.0 
 NX,  STN23,  36.6549,  -97.1971, 296.0 
 NX,  STN24,  36.9196,  -97.8540, 344.0 
 NX,  STN26,  36.9260,  -97.2081, 353.0 
 NX,  STN31,  35.7579,  -97.4433, 329.0 
 NX,  STN32,  35.6808,  -97.1552, 292.0 
 NX,  STN33,  35.6570,  -96.7213, 272.0 
 NX,  STN34,  35.4419,  -97.1104, 339.0 
 NX,  STN35,  35.4418,  -96.7904, 320.0 
 OK,   AMES,  36.3356,  -98.1928, 394.0 
 OK,   BCOK,  35.6567,  -97.6093, 302.0 
 OK,   BLOK,  36.7606,  -97.2150, 301.0 
 OK,   CCOK,  35.3568,  -97.6561, 378.0 
 OK,   CHOK,  35.5611,  -97.0613, 338.0 
 OK,   CROK,  36.5047,  -97.9834, 403.0 
 OK,   CSTR,  35.6456,  -98.6889, 516.3 
 OK,   DEOK,  35.8426,  -96.4983, 291.0 
 OK,   ELIS,  36.0652,  -99.4180, 641.0 
 OK,    FNO,  35.2574,  -97.4012, 360.0 
 OK,   FRLY,  35.4153,  -97.4518, 385.0 
 OK,   GORE,  36.7856,  -97.9471, 348.0 
 OK,   HTCH,  36.0171,  -98.3327, 347.0 
 OK,   KAY1,  36.7627,  -97.2122, 308.0 
 OK,   LOV1,  34.0593,  -97.2408, 267.0 
 OK,   LOV3,  34.0130,  -97.0848, 204.8 
 OK,   MOOR,  35.3418,  -97.6592, 371.0 
 OK,   NOKA,  36.6347,  -98.9319, 476.0 
 OK,  OKCFA,  35.4153,  -97.4514, 385.0 
 OK,  OKCFA,  35.4153,  -97.4514, 398.0 
 OK,   QUOK,  36.1714,  -96.7080, 296.0 
 OK,   RLOK,  36.1675,  -95.0268, 395.0 
 OK,    SMO,  35.5231,  -97.4747, 357.0 
 OK,   SWND,  35.4055,  -97.4380, 390.0 
 TA,   U32A,  36.3795,  -99.0014, 525.0 
 TA,   W35A,  35.1527,  -96.8745, 322.0 
 TA,   X34A,  34.6010,  -97.8326, 364.0 
 TA,   X37A,  34.5892,  -95.3713, 207.0 
 TA,   S31A,  37.6193,  -99.4845, 700.0 
 TA,   S32A,  37.7001,  -98.9363, 558.0 
 TA,   S33A,  37.5936,  -98.0016, 471.0 
 TA,   S34A,  37.7009,  -97.1111, 373.0 
 TA,   S35A,  37.6821,  -96.3190, 334.0 
 TA,   S36A,  37.7240,  -95.5923, 299.0 
 TA,   T31A,  37.0977,  -99.6771, 564.0 
 TA,   T32A,  37.1797,  -98.9247, 596.0 
 TA,   T33A,  37.0824,  -98.2444, 394.0 
 TA,   T34A,  37.0222,  -97.1883, 361.0 
 TA,   T35A,  36.9161,  -96.5121, 401.0 
 TA,   T36A,  37.0605,  -95.8789, 243.0 
 TA,   TUL1,  35.9104,  -95.7919, 256.0 
 TA,   TUL3,  35.9105,  -95.7918, 265.0 
 TA,   U31A,  36.3695,  -99.8508, 725.0 
 TA,   U33A,  36.4327,  -98.1135, 393.0 
 TA,   U34A,  36.4365,  -97.5354, 345.0 
 TA,   U35A,  36.3709,  -96.7318, 303.0 
 TA,   U36A,  36.3927,  -95.7325, 187.0 
 TA,   U37A,  36.4060,  -95.1161, 248.0 
 TA,   V31A,  35.7739,  -99.8425, 687.0 
 TA,   V32A,  35.7202,  -99.0437, 533.0 
 TA,   V33A,  35.8209,  -98.2862, 420.0 
 TA,   V34A,  35.8345,  -97.5176, 329.0 
 TA,   V35A,  35.7626,  -96.8378, 280.0 
 TA,   V36A,  35.7863,  -95.9425, 236.0 
 TA,   V37A,  35.8830,  -95.1410, 219.0 
 TA,   W31A,  35.1864,  -99.9435, 644.0 
 TA,   W32A,  35.1238,  -99.2458, 494.0 
 TA,   W33A,  35.1518,  -98.4686, 414.0 
 TA,   W34A,  35.2352,  -97.7733, 428.0 
 TA,   W36A,  35.1393,  -96.2264, 251.0 
 TA,   W37A,  35.1380,  -95.4269, 281.0 
 TA,   W37B,  35.1390,  -95.4316, 279.0 
 TA,   X31A,  34.6309,  -99.9793, 514.0 
 TA,   X32A,  34.4214,  -99.2854, 401.0 
 TA,   X33A,  34.5410,  -98.5006, 346.0 
 TA,   X35A,  34.3995,  -96.9731, 300.0 
 TA,   X36A,  34.5704,  -96.3520, 211.0 
 TA,   Y32A,  34.0036,  -99.4420, 412.0 
 TA,   Y33A,  34.0081,  -98.6256, 321.0 
 ZP,   SC09,  34.5451,  -97.3657, 291.0 
 ZP,   SC10,  35.4226,  -98.2714, 502.0 
 ZP,   SC11,  35.1833,  -98.7407, 414.0 
 ZP,   SC12,  34.9217,  -99.3547, 472.0 
 ZP,   SC13,  34.7276,  -96.9456, 363.0 
 ZP,   SC14,  34.4520,  -98.2439, 339.0 
 ZP,   SC15,  35.6066,  -99.5006, 550.0 
 ZP,   SC16,  35.9749,  -98.8153, 500.0 
 US,   WMOK,  34.7379,  -98.7807, 486.0 
